id,sex,race,age,zipcode,lon,lat,young,race.num,chicago
53,M,Wh,40,60102,-88.2549342787105,42.1784247034317,0,1,2
54,M,Hi,30,60523,-87.9458179370073,41.8359899480931,0,3,2
55,M,Wh,32,60174,-88.2711301324661,41.9375456458141,0,1,2
56,M,Wh,44,60402,-87.7818115679386,41.8270628127032,0,1,2
57,F,Wh,22,60630,-87.7777191180318,41.9748812868849,1,1,1
58,M,Bl,69,60637,-87.58970691192,41.7946301846277,0,2,1
59,M,Bl,67,60302,-87.7898085747542,41.8924276580479,0,2,2
60,M,Hi,56,60660,-87.666992914855,41.986239529743,0,3,1
61,M,Wh,24,60513,-87.8464540361478,41.8150231110773,1,1,2
62,M,Hi,38,60617,-87.5495846863369,41.7485275143857,0,3,1
63,M,Wh,63,60090,-87.912061591291,42.1501640877525,0,1,2
64,F,Wh,24,60453,-87.7453942905454,41.7242594791026,1,1,2
65,F,Ot,42,60707,-87.8230064334126,41.9304155775826,0,4,2
66,F,Bl,46,60651,-87.7525255054662,41.8959981537653,0,2,1
67,M,Hi,34,60644,-87.7463533487093,41.8663709611681,0,3,1
68,M,Wh,23,60458,-87.8234908923032,41.7497965699151,1,1,2
69,M,Wh,25,60611,-87.6056419994069,41.8895683664431,1,1,1
70,M,Hi,34,60608,-87.6871496095197,41.864544033258,0,3,1
71,F,Wh,31,60618,-87.7195258690076,41.9493316703045,0,1,1
72,M,Bl,41,60615,-87.6139605535392,41.8023420308989,0,2,1
73,F,Hi,34,60458,-87.8220502179999,41.7404107715835,0,3,2
74,F,Wh,41,60608,-87.6869515048264,41.8435324747466,0,1,1
75,F,Bl,59,60639,-87.7789079174215,41.9305584671943,0,2,1
76,M,Hi,32,60617,-87.5796620354375,41.7087086587661,0,3,1
77,F,Ot,63,60647,-87.6803635645196,41.9184429767477,0,4,1
78,M,Hi,80,60629,-87.7238720322497,41.7720571678431,0,3,1
79,M,Wh,70,60661,-87.643462467927307,41.8856153327687,0,1,1
80,F,Hi,19,60107,-88.1992930225439,42.0191451339356,1,3,2
81,M,Wh,22,60153,-87.832371894718,41.8729655382297,1,1,2
82,M,Wh,30,60467,-87.9080927653371,41.5981297218876,0,1,2
83,M,Wh,21,60074,-88.0069493487027,42.1275726397751,1,1,2
84,M,Wh,37,60202,-87.6908320221376,42.0372651720785,0,1,2
85,M,Wh,63,60647,-87.6975149625164,41.9166074136539,0,1,1
86,M,Wh,63,60624,-87.7302215771089,41.8883258463363,0,1,1
87,M,Hi,28,60123,-88.3221725643968,42.0306445403387,0,3,2
88,M,Wh,33,60804,-87.7737219600336,41.848551288182,0,1,2
89,M,Wh,29,60107,-88.1739938231228,41.999511075097,0,1,2
90,M,Wh,22,60624,-87.7144573108456,41.8717804994249,1,1,1
91,F,Wh,29,60626,-87.6796056063136,42.0144166657222,0,1,1
92,M,Bl,36,60804,-87.770275293792,41.8637971986462,0,2,2
93,M,Wh,73,60419,-87.610710158703,41.6402746999819,0,1,2
94,M,Ot,48,60644,-87.7720866049873,41.8726840474712,0,4,1
95,F,Wh,29,60164,-87.8730963225966,41.9212988250202,0,1,2
96,F,Wh,28,60462,-87.8551414955248,41.6288052615694,0,1,2
97,M,Hi,35,60630,-87.7334065812813,41.9802380986973,0,3,1
98,F,Wh,24,60101,-88.0166273546899,41.9404130282776,1,1,2
99,M,Wh,53,60304,-87.7921096741495,41.8670597432124,0,1,2
100,F,Bl,19,60651,-87.7138924881676,41.8993930621487,1,2,1
101,F,Wh,34,60050,-88.2551744175906,42.3294766668741,0,1,2
102,M,Wh,24,60626,-87.6648269478082,42.0220049624775,1,1,1
103,M,Bl,31,60622,-87.6896811183326,41.9072543566928,0,2,1
104,M,Hi,24,60194,-88.1276258464101,42.0441189131947,1,3,2
105,M,Bl,78,60630,-87.7629755541809,41.9637432795305,0,2,1
106,F,Hi,38,60458,-87.8407159629243,41.7595419148741,0,3,2
107,F,Wh,30,60030,-88.0361336394994,42.3668799599673,0,1,2
108,F,Bl,59,60622,-87.6834105851525,41.8963878567074,0,2,1
109,F,Bl,45,60155,-87.8662179986229,41.8636178421071,0,2,2
110,F,Wh,33,60440,-88.0798579052197,41.7138941843386,0,1,2
111,F,Bl,62,60649,-87.5536604799836,41.7599096513147,0,2,1
112,M,Wh,27,60135,-88.671222947021,42.114643727733,0,1,2
113,F,Ot,69,60647,-87.717549949171,41.9239535211044,0,4,1
114,M,Wh,30,60623,-87.7204329596542,41.8459904232516,0,1,1
115,M,Wh,45,60056,-87.9255746997365,42.0861144494804,0,1,2
116,M,Bl,33,60628,-87.6250550343052,41.6935851878069,0,2,1
117,M,Bl,36,60618,-87.7179249405121,41.9522775183247,0,2,1
118,F,Wh,38,60505,-88.3061896188908,41.7345642081415,0,1,2
119,M,Hi,78,60107,-88.2022967361484,42.0327058778469,0,3,2
120,M,Wh,18,60707,-87.7924673478584,41.9127300664514,1,1,2
121,F,Hi,40,60644,-87.7513240938467,41.8669373791115,0,3,1
122,M,Wh,49,60089,-87.9791871617701,42.2049990260852,0,1,2
123,M,Hi,27,60608,-87.6508488116603,41.8502086459896,0,3,1
124,M,Bl,41,60640,-87.666771505024,41.9802432641687,0,2,1
125,M,Wh,29,60056,-87.8917785453336,42.0948214751961,0,1,2
126,F,Bl,60,60628,-87.613801432346,41.6885873139754,0,2,1
127,M,Wh,73,60301,-87.8028007261027,41.8898155619273,0,1,2
128,M,Hi,31,60651,-87.7285312216363,41.9051925077994,0,3,1
129,M,Wh,34,60647,-87.682645979733607,41.918573932638,0,1,1
130,F,Hi,66,60624,-87.7319723796597,41.888360294324,0,3,1
131,M,Hi,59,60657,-87.6280015569579,41.9282442423669,0,3,1
132,F,Hi,38,60638,-87.7574800791203,41.7565195158464,0,3,1
133,M,Wh,52,60089,-87.9210870766353,42.1570712487838,0,1,2
134,F,Wh,23,60641,-87.7655145892054,41.9576947730885,1,1,1
135,M,Bl,33,60628,-87.6333319943992,41.6904895748279,0,2,1
136,M,Wh,73,60636,-87.6595511661418,41.7705634525691,0,1,1
137,M,Wh,55,60301,-87.7939345431967,41.8893852605107,0,1,2
138,F,Wh,38,60164,-87.9108306213275,41.9178303678246,0,1,2
139,M,Ot,28,60459,-87.7909285994504,41.7373829211851,0,4,2
140,M,Wh,28,60625,-87.7118075408631,41.9618987266355,0,1,1
141,M,Wh,60,60613,-87.6534816942982,41.9511993238088,0,1,1
142,M,Wh,22,60060,-88.0741288286553,42.2869774688553,1,1,2
143,M,Bl,33,60185,-88.2283448237565,41.8628162460374,0,2,2
144,M,Bl,35,60621,-87.6281256874757,41.7651630029352,0,2,1
145,M,Ot,29,60626,-87.6665446175452,42.0060862433343,0,4,1
146,M,Bl,33,60613,-87.6525981129625,41.9609896956023,0,2,1
147,M,Bl,34,60651,-87.7512402420627,41.9047931905168,0,2,1
148,M,Wh,33,60089,-87.9646468892921,42.2007344274436,0,1,2
149,F,Bl,61,60609,-87.6295398000045,41.8247781021296,0,2,1
150,M,Wh,37,60415,-87.7756339286522,41.7052700555311,0,1,2
151,M,Wh,39,60201,-87.6788826939428,42.0528232486261,0,1,2
152,M,Wh,32,60482,-87.7862470876555,41.6889167015486,0,1,2
153,F,Bl,33,60624,-87.7075237049896,41.8726482203847,0,2,1
154,F,Wh,24,60660,-87.6725140102639,41.9967470494894,1,1,1
155,F,Bl,72,60651,-87.7713463359328,41.8993983677808,0,2,1
156,M,Wh,22,60153,-87.8471417667154,41.8775976355136,1,1,2
157,F,Wh,20,60634,-87.7747585247987,41.9545713270054,1,1,1
158,M,Hi,75,60804,-87.7570500487418,41.8545554314478,0,3,2
159,M,Hi,39,60632,-87.7285158391344,41.8209028306051,0,3,1
160,F,Wh,37,60097,-88.3499814840468,42.4103846411831,0,1,2
161,M,Bl,40,60302,-87.784112251397,41.8994827256324,0,2,2
162,M,Wh,27,60624,-87.7145823897158,41.8666157632739,0,1,1
163,F,Wh,20,60103,-88.2252569051953,41.9838983132249,1,1,2
164,M,Wh,22,60047,-88.045622792451,42.1923215924529,1,1,2
165,M,Hi,31,60191,-87.9844859175853,41.9813794123305,0,3,2
166,M,Hi,32,60632,-87.7354635420936,41.8103199866008,0,3,1
167,F,Bl,51,60620,-87.6700356277804,41.7373286071063,0,2,1
168,F,Wh,30,60609,-87.6459735853599,41.7945822116987,0,1,1
169,M,Wh,37,60613,-87.6404287653265,41.9562954141563,0,1,1
170,M,Wh,22,60565,-88.1445652065722,41.7067566151196,1,1,2
171,F,Hi,44,60638,-87.7796062670086,41.7697585097468,0,3,1
172,M,Wh,34,60619,-87.6069803730612,41.735120756741,0,1,1
173,F,Wh,38,60481,-88.2320387627457,41.3453734711939,0,1,2
174,M,Wh,25,60616,-87.6361171638936,41.8319378267082,1,1,1
175,M,Wh,31,60647,-87.7080330007572,41.9255214187246,0,1,1
176,M,Bl,80,60628,-87.6125820134627,41.6635190477914,0,2,1
177,F,Ot,40,60076,-87.7387890179026,42.0568867124078,0,4,2
178,M,Wh,21,60115,-88.8336939255355,41.8746417513733,1,1,2
179,M,Wh,26,60561,-87.9742861668251,41.7499970674103,0,1,2
180,F,Wh,30,60639,-87.732873529771,41.9215909197313,0,1,1
181,F,Bl,31,60624,-87.7223751218535,41.8872669973042,0,2,1
182,M,Hi,44,60302,-87.7960132190851,41.9009315657641,0,3,2
183,M,Wh,33,60517,-88.0438401524148,41.7478682893371,0,1,2
184,M,Hi,55,60608,-87.6908069349447,41.8384469701616,0,3,1
185,F,Wh,32,60123,-88.3310354801878,42.0111638029226,0,1,2
186,M,Wh,33,60827,-87.590752654116,41.6485176057809,0,1,2
187,M,Wh,23,60087,-87.8021520044996,42.3909713822117,1,1,2
188,F,Hi,20,60651,-87.7605847244361,41.9051341438729,1,3,1
189,M,Bl,56,60636,-87.6549781709393,41.7612279897473,0,2,1
190,M,Hi,44,60160,-87.8895131791907,41.9017266704051,0,3,2
191,M,Wh,24,60464,-87.851658751553,41.657955362101,1,1,2
192,M,Wh,80,60516,-88.0018371195805,41.7786715362586,0,1,2
193,M,Wh,20,60126,-87.9489419831834,41.8619032374009,1,1,2
194,F,Bl,30,60610,-87.6327425684908,41.9117444173634,0,2,1
195,M,Hi,35,60656,-87.8086650456822,41.9755535700166,0,3,1
196,F,Bl,31,60302,-87.8014461697322,41.884155545253,0,2,2
197,M,Wh,28,60101,-88.0152510104885,41.917914384549,0,1,2
198,M,Wh,23,60070,-87.9015254026889,42.1052540550833,1,1,2
199,F,Wh,44,60657,-87.6589818720189,41.9384265421323,0,1,1
200,M,Wh,31,60607,-87.6651748705258,41.8833055136965,0,1,1
201,F,Ot,23,60441,-88.0913084666139,41.5722428642092,1,4,2
202,M,Bl,33,60614,-87.6700095942969,41.9293518621763,0,2,1
203,M,Ot,44,60652,-87.7284536269861,41.7517012126089,0,4,1
204,F,Ot,24,60630,-87.767346498892607,41.9648690169114,1,4,1
205,M,Wh,18,60107,-88.1453522635082,42.0134654690952,1,1,2
206,F,Bl,66,60637,-87.6169564216005,41.766188266181,0,2,1
207,M,Hi,56,60652,-87.710722087801,41.751599681514,0,3,1
208,F,Ot,78,60647,-87.6818757408468,41.9320223733565,0,4,1
209,M,Wh,30,60612,-87.7008423794213,41.8679015719535,0,1,1
210,M,Wh,21,60439,-88.0590861140061,41.6703124228539,1,1,2
211,M,Wh,48,60661,-87.6424874378358,41.8849307280127,0,1,1
212,M,Wh,34,60453,-87.7966510842273,41.7206617922426,0,1,2
213,M,Ot,27,60304,-87.7934289778352,41.8788054526112,0,4,2
214,F,Bl,48,60615,-87.576426754792,41.7995677877056,0,2,1
215,F,Hi,19,60538,-88.4056466354626,41.7141402393684,1,3,2
216,M,Wh,31,60611,-87.6022163477238,41.89535910706,0,1,1
217,M,Hi,24,60123,-88.3396098648139,42.04512970493,1,3,2
218,M,Bl,44,60804,-87.7513200423349,41.8454867569741,0,2,2
219,F,Wh,38,60481,-88.2286574339388,41.3255559034366,0,1,2
220,F,Wh,78,60661,-87.6433098975463,41.8821676843661,0,1,1
221,M,Bl,33,60638,-87.7997183179293,41.7606243651585,0,2,1
222,F,Hi,36,60620,-87.6245954461338,41.7302415268975,0,3,1
223,M,Bl,33,60622,-87.6682036266775,41.899014783712,0,2,1
224,M,Hi,21,60402,-87.7875217001222,41.8513041201625,1,3,2
225,M,Hi,38,60641,-87.7605182686403,41.9485878973516,0,3,1
226,F,Bl,27,60644,-87.7718214154132,41.8920674069954,0,2,1
227,F,Wh,35,60714,-87.7895533761087,42.0248998076668,0,1,2
228,M,Wh,21,60565,-88.13881515846,41.7275995778009,1,1,2
229,M,Bl,25,61764,-88.7000685830335,40.8614058373867,1,2,2
230,M,Hi,33,60613,-87.6532029218295,41.9592390307405,0,3,1
231,M,Wh,30,60007,-87.9365441666812,41.9998424838392,0,1,2
232,F,Bl,72,60621,-87.6319691529562,41.7775507586403,0,2,1
233,M,Bl,35,60620,-87.6571151730383,41.7482691766637,0,2,1
234,F,Wh,20,60657,-87.6620152294662,41.9379975934924,1,1,1
235,F,Bl,27,60651,-87.7401867073481,41.9063762855839,0,2,1
236,F,Wh,22,60139,-88.0532775631932,41.9079404476063,1,1,2
237,M,Wh,31,60605,-87.6119970222465,41.8694149420202,0,1,1
238,F,Hi,42,60612,-87.6777299059108,41.8893922971384,0,3,1
239,M,Wh,42,60458,-87.8216539893062,41.7507812192644,0,1,2
240,M,Wh,63,60628,-87.628974038162,41.7233269309528,0,1,1
241,M,Hi,26,60130,-87.8113170887811,41.8749420837605,0,3,2
242,F,Wh,38,60047,-88.0343744048399,42.1728548661617,0,1,2
243,F,Bl,34,60624,-87.7117328993632,41.8811795176364,0,2,1
244,F,Wh,33,60004,-87.9669847991448,42.1107016573386,0,1,2
245,F,Wh,32,60559,-87.9805085695266,41.8110400467745,0,1,2
246,M,Bl,27,60617,-87.5359722204679,41.7275280508333,0,2,1
247,M,Bl,30,60651,-87.7434822315648,41.9073150376403,0,2,1
248,M,Bl,43,60615,-87.5863386001759,41.8094185739651,0,2,1
249,F,Wh,32,60002,-88.1816135175228,42.4938424171264,0,1,2
250,M,Bl,36,60621,-87.6335148324308,41.7654774282513,0,2,1
251,M,Wh,67,60631,-87.8196299548869,42.0128686044862,0,1,1
252,F,Wh,31,60515,-88.0278502196195,41.7955536441411,0,1,2
253,M,Wh,19,60073,-88.1332391365981,42.3488345747705,1,1,2
254,M,Bl,66,60607,-87.6584463351691,41.8700363088316,0,2,1
255,M,Wh,19,60074,-88.0313520852648,42.1067006202471,1,1,2
256,F,Wh,23,60641,-87.7524235418575,41.9531659285452,1,1,1
257,F,Wh,43,60101,-88.0287935362266,41.944603687103,0,1,2
258,F,Ot,18,60085,-87.8640157860435,42.3469975288564,1,4,2
259,M,Wh,55,60641,-87.730376001925,41.939679892852,0,1,1
260,F,Wh,31,60660,-87.6720843089868,41.9937644145199,0,1,1
261,F,Bl,71,60636,-87.6804850181402,41.7735340529275,0,2,1
262,M,Wh,22,60067,-88.0624554500399,42.1122733267118,1,1,2
263,F,Bl,24,60624,-87.7149509155863,41.8696731728234,1,2,1
264,F,Bl,33,60608,-87.6875233220571,41.847499016776,0,2,1
265,M,Wh,23,60608,-87.6846900769494,41.8545005513609,1,1,1
266,M,Ot,40,60013,-88.2091200305988,42.2076599390491,0,4,2
267,M,Hi,29,60409,-87.5318394466377,41.5926140035362,0,3,2
268,M,Ot,33,60644,-87.7433447700804,41.8679533678133,0,4,1
269,F,Bl,30,60617,-87.5417514972875,41.685876210215,0,2,1
270,F,Wh,44,60657,-87.6440030023952,41.9347893464231,0,1,1
271,M,Wh,19,60422,-87.6654679830503,41.5376761400667,1,1,2
272,F,Ot,78,60618,-87.703728116033,41.9574637051589,0,4,1
273,F,Bl,78,60626,-87.6671678228971,42.0113904067798,0,2,1
274,F,Bl,70,60623,-87.7199564013629,41.8286837059268,0,2,1
275,M,Hi,78,60618,-87.7046846604405,41.9326750165705,0,3,1
276,M,Bl,35,60304,-87.7791267186875,41.8760394165219,0,2,2
277,M,Wh,21,60647,-87.7005328496801,41.9039188171371,1,1,1
278,F,Wh,36,60160,-87.8579822344687,41.894825540712,0,1,2
279,M,Bl,29,60651,-87.7703935198148,41.9028573918501,0,2,1
280,F,Wh,34,60462,-87.8763070732552,41.6250588016054,0,1,2
281,M,Wh,47,60623,-87.7268225187114,41.8533160048577,0,1,1
282,F,Bl,56,60615,-87.5870838217082,41.7992018608893,0,2,1
283,M,Hi,47,60608,-87.6802590463165,41.8500313936338,0,3,1
284,F,Hi,28,60632,-87.6926950672221,41.8107285181224,0,3,1
285,M,Hi,38,60634,-87.7894144332139,41.9596077707924,0,3,1
286,M,Bl,39,60653,-87.5932795194949,41.827873062599,0,2,1
287,M,Wh,76,60640,-87.6612190981814,41.9690566011934,0,1,1
288,M,Wh,64,60638,-87.7813925309613,41.7705691738952,0,1,1
289,M,Wh,19,60618,-87.6889245176012,41.9466430562146,1,1,1
290,M,Wh,49,60624,-87.735971030419,41.8758630578791,0,1,1
291,M,Hi,37,60625,-87.7157569070699,41.9709760441704,0,3,1
292,M,Bl,31,60056,-87.9495327700675,42.0536271835556,0,2,2
293,M,Wh,33,60626,-87.6707748997479,42.0045458354528,0,1,1
294,F,Bl,30,60644,-87.7742695523491,41.8766286878826,0,2,1
295,M,Bl,74,60619,-87.6217617120389,41.7496340190067,0,2,1
296,M,Bl,35,60623,-87.7111248204569,41.8601205136373,0,2,1
297,M,Wh,54,60804,-87.7520497068485,41.8409939439653,0,1,2
298,F,Bl,71,60651,-87.7548950719384,41.9052060111906,0,2,1
299,F,Hi,52,60647,-87.7086434008893,41.9220087668456,0,3,1
300,M,Hi,32,61301,-89.0307262298176,41.3977359026966,0,3,2
301,F,Wh,35,60638,-87.7742274112851,41.7956047388262,0,1,1
302,F,Bl,65,60628,-87.5894823447704,41.707362823258,0,2,1
303,M,Wh,48,60419,-87.6127627634097,41.6252384140093,0,1,2
304,F,Wh,34,60046,-88.0223563997843,42.400686892651,0,1,2
305,M,Bl,30,60153,-87.8336772711683,41.8711738574011,0,2,2
306,F,Bl,76,60623,-87.7107484588033,41.8318228107142,0,2,1
307,M,Wh,31,60707,-87.8106506093091,41.9214689508998,0,1,2
308,M,Wh,41,60402,-87.7902481001802,41.8230802127867,0,1,2
309,M,Ot,40,60101,-88.0139592981102,41.94210645064,0,4,2
310,M,Wh,31,60618,-87.6847621490871,41.9551268413882,0,1,1
311,M,Bl,25,60187,-88.1129474284241,41.8778869819942,1,2,2
312,F,Wh,44,60615,-87.5930322113097,41.804764434184,0,1,1
313,M,Wh,55,60639,-87.7708568260159,41.9196980051122,0,1,1
314,M,Wh,48,60160,-87.854951833151,41.9160226225323,0,1,2
315,F,Wh,43,60608,-87.6771272596219,41.8325328300078,0,1,1
316,M,Hi,39,60624,-87.7084920078811,41.8894322100629,0,3,1
317,M,Wh,23,60172,-88.0986639202737,41.9938004856924,1,1,2
318,F,Wh,34,60644,-87.7533255810452,41.8916027171113,0,1,1
319,M,Hi,24,60646,-87.7202570618902,41.9897590389012,1,3,1
320,F,Bl,23,60643,-87.6473049880407,41.6859933753977,1,2,1
321,M,Bl,32,60804,-87.7630291042068,41.8470262962221,0,2,2
322,F,Ot,43,60076,-87.7135330203241,42.0371811615612,0,4,2
323,M,Bl,40,60654,-87.6412304618612,41.8925505454225,0,2,1
324,M,Wh,30,60657,-87.6327495226794,41.9471301639433,0,1,1
325,M,Wh,28,60611,-87.610812828900393,41.8974916326721,0,1,1
326,M,Wh,44,60466,-87.6762492195655,41.4997310861442,0,1,2
327,M,Bl,34,60612,-87.6708736242916,41.87448466056,0,2,1
328,F,Bl,47,60626,-87.6766561048002,42.0178594744372,0,2,1
329,F,Hi,32,60707,-87.813986641777,41.9235679938133,0,3,2
330,F,Hi,42,60624,-87.7155810174214,41.8862082921882,0,3,1
331,M,Bl,49,60640,-87.6441418599435,41.9752643335486,0,2,1
332,M,Bl,46,60402,-87.7838618595948,41.8538015286181,0,2,2
333,F,Wh,23,60639,-87.7727021689082,41.9113172501916,1,1,1
334,M,Wh,25,60411,-87.5988296808367,41.4875546573594,1,1,2
335,M,Wh,28,60630,-87.7851703098063,41.9812789491897,0,1,1
336,F,Wh,41,60164,-87.8950263919449,41.9332592773571,0,1,2
337,F,Wh,65,60804,-87.7517674997327,41.8445533159913,0,1,2
338,M,Hi,23,60120,-88.2430506038405,42.0097340984361,1,3,2
339,F,Wh,43,60098,-88.5564018185716,42.3232221715725,0,1,2
340,F,Wh,32,60087,-87.8208411294624,42.3871899306627,0,1,2
341,F,Bl,58,60649,-87.5662029503634,41.7659507521567,0,2,1
342,M,Ot,21,60185,-88.1851328532258,41.9353636140697,1,4,2
343,M,Bl,50,60607,-87.649810063739,41.8676706481239,0,2,1
344,M,Wh,19,60090,-87.9081928815225,42.1042049696943,1,1,2
345,F,Hi,24,60638,-87.7960175914778,41.7595669044801,1,3,1
346,M,Bl,76,60628,-87.6329717963008,41.6820676441956,0,2,1
347,M,Hi,53,60304,-87.7766570379715,41.8718542425638,0,3,2
348,M,Wh,23,60181,-87.9676467882709,41.9040952669586,1,1,2
349,F,Bl,60,60620,-87.6372925808607,41.7474481101042,0,2,1
350,M,Wh,67,60044,-87.8487579660139,42.2808225271876,0,1,2
351,M,Bl,43,60637,-87.6223793206109,41.7716683809657,0,2,1
352,M,Wh,57,60044,-87.8498281988899,42.2739410059397,0,1,2
353,M,Wh,55,60402,-87.7907623754433,41.8094596635982,0,1,2
354,M,Wh,23,60176,-87.8804384266607,41.954217450053,1,1,2
355,F,Bl,24,60621,-87.6298890015638,41.7682728433193,1,2,1
356,M,Wh,79,60617,-87.5374767907959,41.7069770796098,0,1,1
357,F,Hi,34,60644,-87.7501775950737,41.8802339791923,0,3,1
358,F,Bl,71,60649,-87.5413540905896,41.7609469374868,0,2,1
359,F,Hi,41,60629,-87.7310878356859,41.7660670788188,0,3,1
360,F,Bl,69,60620,-87.6426473420972,41.7458547570864,0,2,1
361,F,Wh,42,60609,-87.645105820151,41.8210862423438,0,1,1
362,M,Hi,63,60610,-87.6308007728224,41.8991390013525,0,3,1
363,F,Bl,78,60628,-87.6041971443812,41.7219683857386,0,2,1
364,F,Wh,21,60090,-87.9600073777819,42.1267615900726,1,1,2
365,F,Hi,32,60651,-87.7737648469335,41.9037829858825,0,3,1
366,M,Wh,33,60630,-87.7542836991474,41.9681812095089,0,1,1
367,M,Bl,35,60618,-87.6948299666306,41.9463449029103,0,2,1
368,M,Wh,29,60135,-88.7642941188897,42.1468786810911,0,1,2
369,M,Wh,24,60073,-88.1153371034015,42.3737235716053,1,1,2
370,M,Hi,33,60639,-87.7779835427234,41.9265985467829,0,3,1
371,M,Bl,32,60636,-87.6828560084307,41.7747585413854,0,2,1
372,M,Bl,31,60609,-87.65542819405,41.798555280177,0,2,1
373,F,Hi,44,60620,-87.6829764414062,41.734935749903,0,3,1
374,F,Wh,47,60804,-87.7473343452146,41.8454155306437,0,1,2
375,M,Bl,44,60602,-87.632965339260707,41.8827942562597,0,2,1
376,M,Ot,19,60073,-88.1327260480476,42.3402722280755,1,4,2
377,M,Wh,73,60651,-87.7537379480042,41.8955309979945,0,1,1
378,M,Wh,28,60641,-87.7501059684204,41.9443398692689,0,1,1
379,M,Wh,35,60607,-87.6366146421771,41.866302086602,0,1,1
380,M,Wh,32,60643,-87.6650931215952,41.719761121163,0,1,1
381,F,Bl,71,60660,-87.6514346088803,41.984097080035,0,2,1
382,M,Bl,62,60644,-87.7698854364727,41.8806792405881,0,2,1
383,M,Bl,65,60609,-87.6298518720795,41.8042840035321,0,2,1
384,M,Ot,29,60563,-88.139143662314,41.824807457841104,0,4,2
385,F,Wh,34,60625,-87.7180522273658,41.970606867377,0,1,1
386,F,Bl,74,60637,-87.6103739760297,41.7906669809282,0,2,1
387,M,Hi,32,60625,-87.6786141128058,41.9856921888718,0,3,1
388,M,Wh,23,60459,-87.7768130968067,41.7474917129982,1,1,2
389,M,Wh,34,60656,-87.848174387454,41.9738273459167,0,1,1
